title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits
Everything stays as you left it;author_115;General Audiences;Gen;Ancient Greek Religion & Lore;Thallo & Auxo & Carpo;Thallo (Ancient Greek Religion & Lore), Auxo (Ancient Greek Religion & Lore), Carpo (Ancient Greek Religion & Lore);Triad - Freeform, Time Travel, Climate change awareness, Hugs, Mentioned Achilles/Patroclus, Mentioned Zeus (Ancient Greek Religion & Lore), Mentioned Icarus, Mentioned Dike - Freeform, Hurt/Comfort, Hurt, Character Death, Disabled Character, Canes, Alternate Universe - Dinosaurs, Alternate Universe - Industrial Revolution, Alternate Universe - Future, Angst;English;2022-10-23;Completed;2022-10-23;2358;1/1;;;;2
Abide - Achilles x Patroclus;author_116;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;Achilles/Patroclus of Opus (Ancient Greek Religion & Lore);Achilles (Ancient Greek Religion & Lore), Patroclus of Opus (Ancient Greek Religion & Lore), Briseis | Hippodameia (Ancient Greek Religion & Lore), Agamemnon (Ancient Greek Religion & Lore), Hector (Ancient Greek Religion & Lore);Homeric, Patroclus is a bold hussy, Achilles is a drama queen, Relentless cringe, The ff you never knew you needed, pretty gay ngl, kinda sad;English;2022-10-23;Completed;2022-10-23;3810;1/1;;5;;101
cry me a river;author_52;Teen And Up Audiences;F/M, Gen;Ancient Greek Religion & Lore, The Iliad - Homer;Peleus/Thetis (Ancient Greek Religion & Lore);Thetis (Ancient Greek Religion & Lore), Peleus (Ancient Greek Religion & Lore);Grief/Mourning, Loss, Emotional Hurt/Comfort, Forgiveness, Complicated Relationships, Hopeful Ending, In a certain sense;English;2022-10-23;Completed;2022-10-23;1118;1/1;8;10;2;53
Those Golden Sands(sneak peek);author_117;Not Rated;M/M;Ancient Greek Religion & Lore;Apollo/Icarus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Icarus (Ancient Greek Religion & Lore), Daedalus (Ancient Greek Religion & Lore);Not Really Character Death, Inspired by The Fall of Icarus (Ancient Greek Religion & Lore);English;2022-10-22;Completed;2022-10-22;315;1/1;1;13;;103
Wonder fly trap in the web;author_118;Mature;F/F;Justice League & Justice League Unlimited (Cartoons), Ancient Greek Religion & Lore;;Diana (Wonder Woman), Arachne (Ancient Greek Religion & Lore);Flashbacks, Mind Manipulation, Masturbation, Forced Masturbation, Non-Consensual Touching, Non-Consensual Oral Sex, Attempted Rape/Non-Con, Arachnophobia, Vaginal Fingering, Fingerfucking;English;2022-10-22;Completed;2022-10-22;2187;1/1;1;2;;225
Hermes and his wants;author_119;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;Hermes/Perseus (Ancient Greek Religion & Lore);Hermes (Ancient Greek Religion & Lore), Perseus (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Graeae (Ancient Greek Religion & Lore), Nymph | Nymphs (Ancient Greek Religion & Lore);Retelling, Implied Sexual Content, like dont worry nothing is said, But its heavily implied, but im too pussy to write smut so, slay anyways enjoy;English;2022-10-22;Completed;2022-10-22;3555;1/1;1;18;2;175
The Last Amazon;author_120;General Audiences;;Ancient Greek Religion & Lore, Original Work;;;petrification, statute transformation, Amazon, Magic, Inanimate TF, ASFR;English;2022-10-22;Completed;2022-10-22;2027;1/1;;3;;84
Apology not needed;author_119;Teen And Up Audiences;M/M;The Iliad - Homer, The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore;Achilles/Patroclus of Opus (Ancient Greek Religion & Lore), Achilles/Patroclus (Song of Achilles), Achilles & Chiron & Patroclus (Song of Achilles);Achilles (Ancient Greek Religion & Lore), Achilles (Song of Achilles), Patroclus (Song of Achilles), Patroclus of Opus (Ancient Greek Religion & Lore), Chiron (Song of Achilles), Chiron (Ancient Greek Religion & Lore), Thetis (Song of Achilles), Thetis (Ancient Greek Religion & Lore);First Kiss, Pre-Relationship, what else is there????, uhm it gets a lil spicy?, not too much. but like. yknow, Chiron gets it yknow, he knows whats up and he's like these bitches gay! good for them good for them, too soon? probs what whatever, btw yes true story i wrote this in school, on a school laptop, i slayed;English;2022-10-21;Completed;2022-10-21;2179;1/1;3;73;4;970
Sour Longing, Sweet Spring;author_121;Teen And Up Audiences;F/F;Ancient Greek Religion & Lore;Demeter/Persephone (Ancient Greek Religion & Lore);Demeter (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore);Modern Retelling, Alternate Universe, Light Angst, Mild Hurt/Comfort, Established Relationship, Mother-Daughter Relationship, Mother Complex, Parent/Child Incest, Incest, Sweet, Translation;English;2022-10-21;Completed;2022-10-21;2286;1/1;;2;1;136
Patroclus, Midwinter;author_45;Teen And Up Audiences;M/M;The Song of Achilles - Madeline Miller, The Iliad - Homer, Ancient Greek Religion & Lore, Hades (Video Game 2018);Achilles/Patroclus;;Alternate Universe - Restaurant, Romance, Love at First Sight, Mutual Pining, Secret Messages;English;2022-10-21;Completed;2022-10-21;3954;1/1;18;80;8;522
Ariadne;author_122;General Audiences;F/M;Ancient Greek Religion & Lore, Greek Mythology;Ariadne/Theseus (Ancient Greek Religion & Lore);Ariadne, Theseus;;English;2022-10-20;Completed;2022-10-20;133;1/1;;1;1;19
The Eternal Vow;author_5;Explicit;M/M;Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore);Fluff, Slow Burn, Explicit Sexual Content, Kissing, Foreplay, Sex;English;2022-10-20;Completed;2022-10-20;3741;2/2;;33;2;562
A Father's Heart;author_33;General Audiences;Gen;Ancient Greek Religion & Lore;Ares & Zeus (Ancient Greek Religion & Lore);Zeus (Ancient Greek Religion & Lore), Ares (Ancient Greek Religion & Lore);Family Drama, Father-Son Relationship, Father-Daughter Relationship, Complicated Relationships;English;2022-10-20;Completed;2022-10-20;2844;1/1;2;17;3;181
