title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits
Home from the War;author_883;Explicit;F/M, Multi;Ancient Greek Religion & Lore, Greek Mythology;Ares/Hestia (Ancient Greek Religion & Lore);Ares, Hestia, Zeus, Hera, Aphrodite (Ancient Greek Religion & Lore), Hephaestus (Ancient Greek Religion & Lore), Apollo, Artemis (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore), Hermes, basically all the gods and goddess i can remember;yes i know hestia is a virgin goddess, i am the god of crack ships, i just want ares to be happy man, Aphrodite Ships It, the goddess of love is the best wing man;English;2021-02-13;Completed;2021-06-07;1375;2/2;4;26;2;578
Peter Parker takes Betty Brant around town;author_243;Explicit;F/M;Spider-Man - All Media Types, Ancient Greek Religion & Lore;Betty Brant/Peter Parker, Betty Brant/Ned Leeds (past), Betty Brant/Flash Thompson;Peter Parker, Betty Brant, Flash Thompson, Ned Leeds, J. Jonah Jameson, Aphrodite (Ancient Greek Religion & Lore);Ghost Cuck, Revenge Sex, Drunk Sex, Anal Sex, Vaginal Sex, Public Sex, Public Nudity, Alcohol, Size Difference, Aphrodisiacs, Aphrodite Ships It, Out of Hell For a Day;English;2021-06-07;Completed;2021-06-07;867;1/1;3;35;6;2701
An offer of freedom;author_884;Teen And Up Audiences;M/M;Original Work, Ancient Greek Religion & Lore, Ancient Roman Religion & Lore;;Bacchus (Ancient Roman Religions & Lore), Apollo (Ancient Greek Religion & Lore), The Phoenix;Wakes & Funerals, funeral rites, Grief/Mourning, Implied/Referenced Character Death, Fire, Magic, Gods, Funeral, Reincarnation, Asexual Character, Gay Male Character, Emotionally Repressed, Asexuality, Homosexuality, dream - Freeform, Visions, Vision - Freeform;English;2021-06-06;Completed;2021-06-06;2272;1/1;;1;;28
she once knew the sun;author_885;Not Rated;Gen;Ancient Greek Religion & Lore, Batman - All Media Types;Apollo/Cassandra (Ancient Greek Religion & Lore), Stephanie Brown/Cassandra Cain;Apollo (Ancient Greek Religion & Lore), Cassandra (Ancient Greek Religion & Lore), Cassandra Cain, Stephanie Brown, John Constantine;Unhealthy Relationships, Past Rape/Non-con, Apollo is a bad guy in this, Poetry, Inspired by Poetry, Angst, Curses, Victim Blaming, Hurt Cassandra Cain, Reincarnation, does this make any sense?, no., It does not., But I'm way too tired to care., Mute Cassandra Cain, Cassandra Cain-centric;English;2021-06-06;Completed;2021-06-06;859;1/1;13;56;4;640
Cruelties of the Heart;author_33;General Audiences;Gen;Ancient Greek Religion & Lore, The Iliad - Homer;Agamemnon & Menelaus (Ancient Greek Religion & Lore);Menelaus (Ancient Greek Religion & Lore), Agamemnon (Ancient Greek Religion & Lore);Brotherly Love, Angst, Implied/Referenced Cheating, Trojan War, Epic Cycle;English;2021-06-05;Completed;2021-06-05;3698;1/1;3;10;1;150
my blood is singing in your voice;author_700;Explicit;M/M;The Iliad - Homer, Ancient Greek Religion & Lore;Apollo/Hector (Ancient Greek Religion & Lore), Hector/Paris (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hector (Ancient Greek Religion & Lore);Pseudo-Incest, Implied/Referenced Incest, Unrequited Crush, Burns, Painplay, Anal Fingering, Anal Sex, post-coital homicidal thoughts, Dubious Consent, cannibalistic undertones, Masochism, Canon-Typical Violence, Additional Warnings In Author's Note;English;2021-06-05;Completed;2021-06-05;1813;1/1;8;52;3;808
A vision after the funeral;author_884;Teen And Up Audiences;F/F;Original Work, Norse Religion & Lore, Ancient Greek Religion & Lore, Ancient Roman Religion & Lore;;Loki (Norse Religion & Lore), Sigyn (Norse Religion & Lore), The Phoenix;Wakes & Funerals, Death Rituals, Visions, Lesbian Character, Reincarnation;English;2021-06-05;Completed;2021-06-05;3613;1/1;2;5;1;81
Her dream the night Yggdrasil burned;author_884;Teen And Up Audiences;;Ancient Greek Religion & Lore, Norse Religion & Lore, Original Work;;;References to Norse Religion & Lore, References to Ancient Greek Religion & Lore, dream - Freeform, Vision - Freeform, Reincarnation, Romance, Love, incompatible orientation, Lesbian Character, Lesbians, Soulmates, Soul Bond, Romantic Soulmates, Platonic Soulmates, Gods, Mythology - Freeform, Magic, Fantasy;English;2021-06-05;Completed;2021-06-05;2194;1/1;;3;1;18
Lovers;author_867;Teen And Up Audiences;F/M;Ancient Greek Religion & Lore;Hades/Minthe (Ancient Greek Religion & Lore), Hades/Persephone (Ancient Greek Religion & Lore), Hades - Relationship;Minthe (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore);Cheating, Drama & Romance, Vaginal Sex, Nymphs & Dryads, Strangers to Lovers, Sorry Not Sorry, References to Ancient Greek Religion & Lore, Twelve Gods of Olympus (Ancient Greek Religion & Lore);English;2021-06-05;Completed;2021-06-05;488;1/1;;7;;537
Is that really how it happened?;author_884;General Audiences;;Original Work, Ancient Greek Religion & Lore, Ancient Roman Religion & Lore, Norse Religion & Lore;;;Swords, Sparring, Fencing, Swordfighting, Sword Lesbian, Lesbian Character, No Lesbians Die, Lesbian, Lesbians, wlw, Unrequited Love, Unrequited Crush, Temporarily Unrequited Love, Reincarnation, Soulmates, Platonic Soulmates, Romantic Soulmates, Soul Bond, Past Lives, Magic, Fantasy, Gods, Demigods, Valkyrie - Freeform, Delusions, Repressed Memories, Butch - Freeform, butch lesbian, Implied/Referenced Character Death, Past Character Death, Future Character Death;English;2021-06-05;Completed;2021-06-05;2153;1/1;;1;1;26
Modern World: Part Two;author_147;General Audiences;M/M;The Trials of Apollo - Rick Riordan, Ancient Greek Religion & Lore;Apollo/Hyacinthus (Percy Jackson);Apollo (Percy Jackson), Hyacinthus (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Leto (Ancient Greek Religion & Lore);Ten Things Hyacinthus Does Not Understand About The Modern World, Part Two, Fluff, Movie Night, One Shot, Short & Sweet, Delos Movie Night, thats a thing, How Do I Tag, Disney, Cause I Said So, Crack Fic, #writing this instead of paying attention to my History class, #parkour, short fic;English;2021-06-05;Completed;2021-06-05;487;1/1;4;73;2;759
The Trials and Tribulations of Marriage;author_877;Teen And Up Audiences;F/M;Ancient Greek Religion & Lore, The Iliad - Fandom;;Zeus (Ancient Greek Religion & Lore), Achilles (Ancient Greek Religion & Lore), Hera (Ancient Greek Religion & Lore);;English;2021-06-04;Completed;2021-06-04;1751;1/1;3;2;;73
I've got a proposal;author_133;General Audiences;F/M;Ancient Greek Religion & Lore;Artemis & Dionysus (Ancient Greek Religion & Lore), Ariadne/Dionysus (Ancient Greek Religion & Lore);Dionysus (Ancient Greek Religion & Lore), Ariadne (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore);Marriage Proposal, Marriage, Love, Love Confessions;English;2021-06-04;Completed;2021-06-04;406;1/1;;26;1;583
Icarus and the Sun;author_886;Mature;F/M, M/M;The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore;Achilles/Patroclus (Song of Achilles), Briseis/Patroclus (Song of Achilles);Briseis (Song of Achilles), Patroclus (Song of Achilles), Achilles (Song of Achilles);One-Sided Attraction, For Briseis, Surrogacy, Old Fic Repost, Patroclus wants a family, Briseis and Patroclus will give that to him;English;2021-06-03;Completed;2021-06-03;1652;1/1;12;140;16;1603
Grab My Hand;author_887;General Audiences;F/M;Orpheus and Eurydice - Fandom;Eurydice wife of Orpheus/Orpheus (Ancient Greek Religion & Lore);Orpheus, Eurydice;Vignette, References to Ancient Greek Religion & Lore, Inspired by Orpheus and Eurydice (Ancient Greek Religion & Lore), Mythology - Freeform, Alternate Universe - Ancient Greek Religion & Lore Fusion;English;2021-06-03;Completed;2021-06-03;791;1/1;;;;29
Puppets On A String;author_376;Not Rated;F/M, M/M;Troy (2004), The Iliad - Homer, HOMER - Works, Ancient Greek Religion & Lore;Achilles & Hector (Ancient Greek Religion & Lore), Achilles/Hector (Troy 2004), Andromache/Hector (Ancient Greek Religion & Lore), Achilles/Hector (Ancient Greek Religion & Lore);Achilles, Hecuba (Ancient Greek Religion & Lore), Astyanax son of Hector (Ancient Greek Religion & Lore), Paris (Ancient Greek Religion & Lore), Hector (Troy 2004), Hector (Ancient Greek Religion & Lore), Andromache (Ancient Greek Religion & Lore), Priam (Troy 2004);Angst, Hurt No Comfort, Mild Hurt/Comfort, Depression, Suicidal Thoughts, Minor Character Death;English;2021-06-02;Completed;2021-06-02;1910;1/1;3;26;1;601
Eclipse;author_298;Mature;F/M;Ancient Greek Religion & Lore;Apollo/Artemis (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore);Vaginal Fingering, Cunnilingus, Incest, Sibling Incest, POV Second Person;English;2021-06-02;Completed;2021-06-02;237;1/1;;72;3;1564
(Im)mortals are ticklish...;author_888;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;Ganymede/Zeus (Ancient Greek Religion & Lore);Ganymede (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore);Mythology - Freeform, eagle - Freeform, Inspired by Ganymede and Zeus (Ancient Greek Religion & Lore), Humor, Tickling, Non-Consensual Tickling, Power Dynamics, Wings, Wingfic, Mind Control;English;2021-05-03;Completed;2021-06-02;3479;2/2;1;29;3;915
The Ballad of Patroclus;author_889;Teen And Up Audiences;M/M;The Song of Achilles - Madeline Miller, Hades (Video Game 2018), Ancient Greek Religion & Lore, The Iliad - Homer, The Odyssey - Homer, Circe - Madeline Miller;Achilles/Patroclus, Achilles/Patroclus (Song of Achilles), Achilles/Patroclus of Opus (Ancient Greek Religion & Lore), Achilles & Patroclus (Song of Achilles), Achilles/Patroclus (Hades Video Game);Achilles (Song of Achilles), Achilles (Hades Video Game), Achilles (Ancient Greek Religion & Lore), Patroclus (Song of Achilles), Patroclus (Hades Video Game), Patroclus of Opus (Ancient Greek Religion & Lore), Thanatos (Hades Video Game), Thanatos (Ancient Greek Religion & Lore), Charon (Hades Video Game), Hades (Hades Video Game), Hades (Ancient Greek Religion & Lore), Charon (Ancient Greek Religion & Lore);Underworld, Canonical Character Death, Implied/Referenced Character Death, Books, Fanfiction, Canon Continuation, Suicidal Thoughts, Implied/Referenced Suicide;English;2021-06-01;Completed;2021-06-01;4709;1/1;6;268;43;2950
Water & Wine;author_890;Teen And Up Audiences;M/M;Hades (Video Game 2018), Ancient Greek Religion & Lore;Dionysus/Poseidon (Hades Video Game);Dionysus (Hades Video Game), Poseidon (Hades Video Game), Hermes (Hades Video Game), Ares (Hades Video Game), Demeter (Hades Video Game), Hera (Hades Video Game), more to get added as the story progress;Alternate Universe - Modern Setting, dionysus is demeter's son, Slow Burn, Implied/Referenced Child Abuse, The Olympians are a shitty family, Rating May Change;English;2021-06-01;Completed;2021-06-01;4766;1/1;;9;;149
Love Me or Leave Me;author_512;General Audiences;F/M;Percy Jackson and the Olympians - Rick Riordan, Ancient Greek Religion & Lore;Hera/Zeus (Percy Jackson), Hera/Zeus (Ancient Greek Religion & Lore);;Song Lyrics, Angst with a Happy Ending, Emotional Hurt/Comfort;English;2021-06-01;Completed;2021-06-01;958;1/1;1;46;4;587
the fall of icarus, or: ascendancy;author_48;General Audiences;M/M;Ancient Greek Religion & Lore;Apollo/Icarus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Icarus (Ancient Greek Religion & Lore);Double Drabble;English;2021-06-01;Completed;2021-06-01;200;1/1;6;82;7;584
[Podfic] A Seed of Song: Fives Hymns The Muses Sing of Hades and Persephone;author_891;Teen And Up Audiences;F/M;Aims - Vienna Teng (Album), Hymn to Demeter - Homer, Ancient Greek Religion & Lore;Hades/Persephone (Ancient Greek Religion & Lore);Hades (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Demeter (Ancient Greek Religion & Lore);Romance, Long-Distance Relationship, Family Drama, Crossovers & Fandom Fusions, Yuletide Treat, Podfic, Podfic Length: 10-20 Minutes;English;2021-05-31;Completed;2021-05-31;5;1/1;;5;;100
Narcissistic Lover;author_892;General Audiences;F/M, M/M, Multi, Other, F/F;Ancient Greek Religion & Lore;Narcissus (Ancient Greek Religion & Lore)/Reader, Echo (Ancient Greek Religion & Lore)/Reader, past Echo/Narcissus (Ancient Greek Religion & Lore), Narcissus/Narcissus (Ancient Greek Religion & Lore);Narcissus (Ancient Greek Religion & Lore), Echo (Ancient Greek Religion & Lore), Reader;Gaslighting, slight gaslighting, Narcissus is not a good boyfriend, You do not end up with Narcissus don't worry, Final Relationship with Echo, I wrote this for school as a joke, No Beta we die like Narcissus in the OG myth, Fluff, No Smut, I added y/n stuttering as a joke, One-Shot, Gender-Neutral Pronouns, POV Second Person, POV Third Person;English;2021-05-31;Completed;2021-05-31;2931;1/1;;13;;228
Multifandom One-shots;author_893;Mature;F/F, F/M, Gen, M/M, Multi, Other;The Mortal Instruments Series - Cassandra Clare, The Mortal Instruments (Movies), Broadchurch, Teen Wolf (TV), KING Stephen - Works, Ancient Greek Religion & Lore, Eyewitness (US TV), Criminal Minds (US TV), Peaky Blinders (TV), American Horror Story, Bones (TV), The Maze Runner Series - James Dashner, Love Simon (2018), Sherlock (TV), Once Upon a Time (TV), A Song of Ice and Fire - George R. R. Martin, House M.D., Maurice - E. M. Forster, Choices: High School Story: Class Act (Visual Novel), Choices: Hero (Visual Novel), Choices: The Royal Masquerade (Visual Novel), Choices: Most Wanted (Visual Novel), Ask 101 | Love 101 (TV 2020), Toy Boy (TV), Doctor Who (2005), The Breakfast Club (1985), My Fair Lady (1964), Good Will Hunting (1997), Kill Your Darlings (2013), Joker (2019), Pulp Fiction (1994), X-Men - All Media Types, Tiny Pretty Things (TV), The Old Guard (Comics), SHAKESPEARE William - Works, DICKENS Charles - Works;;;;English;2021-05-31;Completed;2021-05-31;170;1/1;5;5;4;658
Troy;author_856;Teen And Up Audiences;;Original Work, Ancient Greek Religion & Lore;;;Gods, Ancient Greece, Troy - Freeform, Death, luck;English;2021-05-31;Completed;2021-05-31;1245;1/1;;7;;26
Monstrous May 2021;author_358;Explicit;Multi, F/F, F/M, Gen, M/M, Other;Original Work, Ancient Greek Religion & Lore;Bayou Saint-Pierre/Isaac Clarkson, Artemis Boone/Werewolves, Frey Hemlock/Ywain Apted, Cleo Wight/Lingerie, Lucian Romano/Nidi Riis, Kat Wilde/The Mermaid, Pitcher Plant/Will Lichtmann, Matilda Oak/Dolls, The King/Raoul Cristobal, Nightfall Dragon/Violet Long, Jude Leota/The Fairy, Asterion the Minotaur (Ancient Greek Religion & Lore)/Bronte, Tentacles/Jack Katechis/Lethia Katechis;Ann Price, Jacob Bly, Susanna Black, Bayou Saint-Pierre, Isaac Clarkson, Cestmir Albescu, The Wanderer - Character, Artemis Boone, Christina Brookings, The Beast of Bramble Grove, Frey Hemlock, Ywain Apted, Cleo Wight, Olivia Christie, Rosenrot - Character, Lucian Romano, Nidi Riis, Kat Wilde, The Mermaid, Sae Oshitani, Monster Truck Sanchez, Evangelina Cross, Yoko Hara, Will Lichtmann, Matilda Oak, Raoul Cristobal, The King, Maribella Hawke, Violet Long, Nightfall Dragon, Betty Hollow, Jude Leota, The fairy, Ash Fall, Grey Heathcliff, Asterion the Minotaur (Ancient Greek Religion & Lore), Bronte, Jack Katechis, Lethia Katechis;Child Abuse, Trans Male Character, Body Horror, Stalking, Anal Sex, Knotting, Trans Female Character, Blood and Gore, Cannibalism, Nonbinary Character, Sounding, Pregnancy, Oviposition, Vaginal Sex, Fisting, Vore, Oral Sex, Kidnapping, Master/Pet, Size Kink, Masochism;English;2021-05-01;Completed;2021-05-31;12318;31/31;;52;5;5046
We bit the fruit, it seemed a lie;author_894;Teen And Up Audiences;F/M;Ancient Greek Religion & Lore, Original Work;Hades/Persephone (Ancient Greek Religion & Lore), Hades & Persephone (Ancient Greek Religion & Lore), Minthe & Persephone (Ancient Greek Religion & Lore);Hades (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Minthe (Ancient Greek Religion & Lore);Original Fiction, The Abduction of Persephone But Make it Science, Genetic Engineering, Science Fiction, Research Facilities, Power Dynamics, Power Imbalance, The Fruit is a Lie, Biological Engineering, Boss/Employee Relationship, Drabble, Inspired by Hades and Persephone (Ancient Greek Religion & Lore);English;2021-05-30;Completed;2021-05-30;5875;1/1;16;47;4;737
fresh from the fields, all fetor and fertile;author_895;Teen And Up Audiences;F/M;Hadestown - Mitchell, Ancient Greek Religion & Lore;Hades/Persephone (Hadestown);Hades (Hadestown), Persephone (Hadestown);Pre-Canon;English;2021-05-30;Completed;2021-05-30;212;1/1;;17;;157
The Story Of Tonight;author_133;General Audiences;F/F, Gen;Ancient Greek Religion & Lore;Ariadne/Dionysus (Ancient Greek Religion & Lore), Apollo & Artemis (Ancient Greek Religion & Lore), Apollo & Hermes (Ancient Greek Religion & Lore), Artemis & Hermes (Ancient Greek Religion & Lore), Dionysus & Hermes (Ancient Greek Religion & Lore), Artemis & Dionysus (Ancient Greek Religion & Lore), Apollo & Dionysus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore), Ariadne (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore);Aphrodite - Freeform, Hephaestus - Freeform, Persephone - Freeform, Other Gods - Freeform, Modern AU, Hamilton References, Song: The Story of Tonight (Reprise), Weddings, Marriage, Funny, Fluff, Drunk Singing;English;2021-05-30;Completed;2021-05-30;335;1/1;;35;3;541
Hidden;author_363;Mature;F/M;Original Work, Ancient Greek Religion & Lore;Hades/Persephone;Persephone (Hadestown), Hades (Ancient Greek Religion & Lore);5 Minute Writing Challenge, Goddesses, Love/Hate;English;2021-05-30;Completed;2021-05-30;208;1/1;;19;1;317
HADES // orpheus and eurydice;author_147;General Audiences;;Greek Mythology, Greek Mythology & Related Fandoms, Ancient Greek Religion & Lore;Hades/Persephone, Eurydice/Orpheus;Eurydice, Orpheus, Hades, Persephone;Inspired by Hadestown, myths, Greek Mythology - Freeform, Gods, Deals;English;2021-05-29;Completed;2021-05-29;857;1/1;2;5;;65
Sitting in a Garden at Two o' Clock in the Morning;author_45;Teen And Up Audiences;M/M;The Song of Achilles - Madeline Miller, The Iliad - Homer, Ancient Greek Religion & Lore;Achilles/Patroclus (Song of Achilles);Neoptolemus | Pyrrhus (Song of Achilles), Ilus of Troy (Ancient Greek Religion & Lore);Alternate Universe - Modern Setting, Father-Son Relationship, Slice of Life, Awkward Romance;English;2021-05-29;Completed;2021-05-29;6072;1/1;12;147;12;1161
Taming war;author_667;Not Rated;F/M;Ancient Greek Religion & Lore;Aphrodite/Ares (Ancient Greek Religion & Lore);Ares (Ancient Greek Religion & Lore), Aphrodite (Ancient Greek Religion & Lore);Domestic Fluff, Fluff, One Shot;English;2021-05-29;Completed;2021-05-29;2516;1/1;3;79;11;990
A Garden Like Mint;author_896;Teen And Up Audiences;F/M;Ancient Greek Religion & Lore;Hades/Persephone (Ancient Greek Religion & Lore), Minthe & Persephone (Ancient Greek Religion & Lore);Minthe (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore);Relationship Discussions, Established Relationship, Flirting, Female Bonding, No Female Rivalry, BAMF Persephone (Ancient Greek Religion & Lore), Jealousy, Past Relationship(s);English;2021-05-28;Completed;2021-05-28;2860;1/1;4;51;5;727
before you came round I was heading for a small disaster;author_897;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;Ares/Dionysus (Ancient Greek Religion & Lore);Ares (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore);Alternate Universe - Modern Setting, Modern Era, Band Fic, based on tiktoks by ara_george and chandler.darling, androgynous aphrodite;English;2021-05-28;Completed;2021-05-28;1024;1/1;18;108;25;967
Ariadne x Theseus: A Retelling;author_898;Teen And Up Audiences;F/M;Ancient Greek Religion & Lore;Ariadne/Dionysus (Ancient Greek Religion & Lore), Ariadne/Theseus (Ancient Greek Religion & Lore);Ariadne (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore), Theseus (Ancient Greek Religion & Lore), Minos (Ancient Greek Religion & Lore), Daedalus (Ancient Greek Religion & Lore);Modern Setting Retelling of Ancient Greek Religion & Lore, kinda of???, like modern in the sense its 2021 and i wrote it, but its still canon ish, Canon Compliant, Ariadne's POV, Theseus is an asshole, Rescue, i dont know what to tag this with, References to Ancient Greek Religion & Lore, Mount Olympus (Ancient Greek Religion & Lore), dionysus is a good guy, stan dionysus, Angst with a Happy Ending, if this qualifies as angst, Period-Typical Sexism, Not Beta Read;English;2021-05-27;Completed;2021-05-27;2528;1/1;3;21;;333
trails of honey and blood;author_899;Teen And Up Audiences;F/F;Ancient Greek Religion & Lore, Naruto;Tsunade (Naruto)/Original Female Character(s);Tsunade (Naruto), Zeus (Ancient Greek Religion & Lore), Cronus (Ancient Greek Religion & Lore), Rhea (Ancient Greek Religion & Lore);Childhood Trauma, Genderbending, Alternate Universe, Time Travel, Alternate Universe - Gods & Goddesses;English;2021-05-27;Completed;2021-05-27;1005;1/1;;3;;152
Petals of a golden rose;author_900;General Audiences;M/M;Ancient Greek Religion & Lore;Achilles/Patroclus of Opus (Ancient Greek Religion & Lore);Achilles (Ancient Greek Religion & Lore), Patroclus of Opus (Ancient Greek Religion & Lore);have fun, this was fun to write;English;2021-05-27;Completed;2021-05-27;1934;1/1;2;19;1;294
you took me and bathe me in your waters, your fountain;author_901;Mature;F/M;Ancient Greek Religion & Lore;Aphrodite/Ares (Ancient Greek Religion & Lore), Aphrodite/Hephaestus (Ancient Greek Religion & Lore), Hera/Zeus (Ancient Greek Religion & Lore), Aglaia of the Charities/Hephaestus (Ancient Greek Religion & Lore);Aphrodite (Ancient Greek Religion & Lore), Ares (Ancient Greek Religion & Lore), Hephaestus (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Eris | Discordia (Ancient Greek Religion & Lore), Hera (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore);Dom/sub Undertones, Light Dom/sub, Implied/Referenced Sex, Ancient Greece, Infidelity, Cheating, Non-Consensual Voyeurism, Pregnancy, Unplanned Pregnancy, First Time, First Kiss, First Meetings, Getting Together, Public Humiliation, Adultery, Fluff and Smut, Soft Ares, Bossy Aphrodite, un-betaed;English;2021-05-26;Completed;2021-05-26;5428;1/1;5;75;10;1219
Patroclus' Patient;author_834;Teen And Up Audiences;M/M;The Iliad - Homer, The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore;Achilles/Patroclus of Opus (Ancient Greek Religion & Lore);Achilles (Ancient Greek Religion & Lore), Patroclus of Opus (Ancient Greek Religion & Lore), Achilles (Song of Achilles), Patroclus (Song of Achilles), Briseis | Hippodameia (Ancient Greek Religion & Lore), Briseis (Song of Achilles);Sickfic, Sick Character, Fever, Coughing, Illnesses, Hurt/Comfort, Achilles is sick, Vomiting, Sick! Achilles;English;2021-05-08;Completed;2021-05-26;9583;5/5;24;123;8;2689
The Sun and the Sea;author_902;Teen And Up Audiences;Gen;Star Wars Prequel Trilogy, Star Wars Original Trilogy, The Mandalorian (TV), Ancient Greek Religion & Lore;Boba Fett & Jango Fett, Boba Fett & Original Character(s), Din Djarin & Boba Fett;Boba Fett, Jango Fett - Mentioned, Darth Vader, Luke Skywalker - mentioned, Original Human Character(s), Din Djarin, Charybdis (Ancient Greek Religion & Lore);POV Third Person Limited, POV Boba Fett, Boba Fett Survives, That one might be a little unnecessary given the Mandalorian fandom tag lmao, Inspired by The Fall of Icarus (Ancient Greek Religion & Lore), to be clear Charybdis is not ACTUALLY in this, but also she's absolutely in this, Mandalorian Culture (Star Wars), Wings, This is not a wing au... or is it?, Clone Troopers Deserve Better (Star Wars), Clone Trooper Culture (Star Wars), Anti-Jedi Sentiments (Star Wars), References to Ancient Greek Religion & Lore, Mentioned Clone Troopers (Star Wars), Angst with a Happy Ending, Acts of Kindness;English;2021-05-26;Completed;2021-05-26;3574;1/1;8;46;11;238
for your love;author_903;Teen And Up Audiences;M/M;Ancient Greek Religion & Lore;Apollo/Icarus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Icarus (Ancient Greek Religion & Lore);Angst and Tragedy, Poetry, Love, Bad Poetry;English;2021-05-26;Completed;2021-05-26;320;1/1;;40;1;306
The Fall of the Gods;author_607;General Audiences;Gen, M/M;Ancient Greek Religion & Lore, Percy Jackson and the Olympians - Rick Riordan, The Trials of Apollo - Rick Riordan, The Heroes of Olympus - Rick Riordan;Apollo/Icarus (Ancient Greek Religion & Lore), Apollo & Icarus (Ancient Greek Religion & Lore), Apollo & Artemis (Ancient Greek Religion & Lore), Apollo (Percy Jackson)/Frey (Magnus Chase);Apollo (Ancient Greek Religion & Lore), Apollo (Percy Jackson), Icarus (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Huntresses of Artemis (Ancient Greek Religion & Lore), Freyr | Frey (Norse Religion & Lore), Chaos (Ancient Greek Religion & Lore);Alternate Universe, Alternate Universe - Apocalypse, Apocalypse;English;2021-05-25;Completed;2021-05-25;1556;1/1;;25;1;410
Apollo, Chase Her No Longer;author_904;General Audiences;F/M;Minecraft (Video Game), Ancient Greek Religion & Lore, Video Blogging RPF;Wilbur Soot & Technoblade & TommyInnit & Phil Watson, Wilbur Soot & Technoblade, Wilbur Soot & TommyInnit;Wilbur Soot, TommyInnit (Video Blogging RPF), Phil Watson (Video Blogging RPF), Technoblade (Video Blogging RPF), Apollo (Ancient Greek Religion & Lore), Daphne (Ancient Greek Religion & Lore);Sad Wilbur Soot, Mentioned Technoblade (Video Blogging RPF), Mentioned TommyInnit (Video Blogging RPF), Mentioned Phil Watson (Video Blogging RPF), Wilbur Soot-centric, Angry Wilbur Soot, i wrote this while listening to MARINA, I wrote this in class, didnt see anybody make this so i did, Hybrid Wilbur Soot, Phil Watson is Wilbur Soot and Technoblade and TommyInnit's Parent, Immortal Phil Watson (Video Blogging RPF), Immortal Technoblade (Video Blogging RPF), Immortal TommyInnit (Video Blogging RPF), Immortal Wilbur Soot;English;2021-05-25;Completed;2021-05-25;682;1/1;1;14;2;244
I hope for the future;author_133;General Audiences;Gen;Ancient Greek Religion & Lore;Demeter & Hades (Ancient Greek Religion & Lore);Hades (Ancient Greek Religion & Lore), Demeter (Ancient Greek Religion & Lore);Siblings, Sibling Bonding, Friendship, Prequel, Early Mythology;English;2021-05-25;Completed;2021-05-25;786;1/1;;14;2;143
Calypso: Chapter 2;author_905;Teen And Up Audiences;Gen;The Little Mermaid - All Media Types, Pirates of the Caribbean (Movies), Ancient Greek Religion & Lore;;King Triton, Ursula (Disney), Calypso | Tia Dalma, Calypso (Ancient Greek Religion & Lore), Erzulie Dantor, Erzulie Freda;Mermaids, Voodoo, Alternate Universe - Magic, Alternate Universe - Gods & Goddesses;English;2021-05-25;Completed;2021-05-25;3351;1/1;;;;308
satellite;author_906;General Audiences;F/F;Ancient Greek Religion & Lore;Artemis/Callisto (Ancient Greek Religion & Lore);Callisto (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), sort of - Character;i stopped right before she realizes, makes me too sad, this will exist as a fragment, Greek Mythology - Freeform, did not proofread sorry;English;2021-05-25;Completed;2021-05-25;1186;1/1;3;28;1;391
[MM4A] A Godly Afterparty;author_907;Explicit;M/M;Original Work, GWA - Fandom, Ancient Greek Religion & Lore;Apollo/Dionysus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore);Screenplay/Script Format, gwa, /r/GoneWildAudio, reluctance, magical arousal, Punishment, Drinking, Oral Sex, Wine, Anal Fingering, Anal Sex, Riding, Dom/sub;English;2021-05-25;Completed;2021-05-25;2133;1/1;;65;4;2221
